"논문ID","발행연도","저널명/DOI","① [대분류] 연구분야","② [타깃] 관찰 시료·물질","③ [기전] 관찰 현상·메커니즘","④ [장비가치] 측정 니즈","⑤ [관계장비] 병행/대체 광학 장비","⑥ [산출물] 데이터 최종 산출물","⑦ 자사(Tomocube) AI/SW 활용","⑧ 타사 AI/SW 활용"
"paper_10","2025","Biomedical Optics Express / 10.1364/BOE.574974","세포생물학/생물물리","신경모세포종·신경교종 하이브리드 세포; 1차배양 신경세포; CHO 세포; 인공 거대 지질소포","세포내 수분 항상성; 삼투 스트레스 반응; 유사분열; 막 투과성 변화","#단일세포 #연속관찰 #개별세포추적 #분열추적 #형태측정 #건조질량 #질량밀도 #라벨프리 #동시측정 #수분함량","[병행] Tomocube HT-X1 → 3D RI 타임랩스(주력 QPI)
[병행] 자체 2D QPI(선행연구 기법) → CHO-K1 수분함량 교차검증
[병행] Leica TCS SP5 II 공초점 → 거대소포 확인
[병행] Fisherbrand HDR-P6 굴절계 → 배지 RI
[대체] 자체 2D QPI(구형 가정) → HT로 형상 제약 제거","Tomocube HT-X1 [수치]: 세포 부피, 건조질량, 수분 부피, 수분 질량분율(%)
Tomocube HT-X1 [영상]: 3D RI 렌더링, 복셀별 수분% 맵, 타임랩스
자체 2D QPI [수치]: CHO-K1 수분 %
기타: COMSOL 전기장 시뮬레이션, 공초점 형광 이미지","SW 모듈명 명시 O: TomoAnalysis (버전 명시 X)
RI 임계값 분할·3D 렌더링","MATLAB → 복셀별·세포별 수분함량 계산
COMSOL Multiphysics → 전기장 분포 시뮬레이션
※ 유출: QPI 파생 지표(수분함량) 계산은 MATLAB"
"paper_11","2025","bioRxiv(프리프린트) / 10.1101/2025.08.26.672505","암/종양학","마우스 DRG 외식편·췌장암 세포 공배양","신경주위 침윤; 암세포-신경교세포 상호작용; 신경돌기 성장; 암세포 침습","#세포간상호작용 #연속관찰","[병행] Tomocube HT-X1 Plus → 암세포 견인 현상 3D 검증
[병행] Incucyte SX5 → 침윤·신경돌기 타임랩스
[병행] Yokogawa CQ1 공초점 → 교세포-암세포 라이브
[병행] Nikon AXR 공초점 → IF·조직
[병행] NanoString GeoMx/CosMx → 공간전사체
[병행] Attune NxT 유세포분석기 → Pdgfrb 발현
[대체] 명시 안 됨","Tomocube HT-X1 Plus [영상]: 3D 위상 동영상(정성)
Tomocube HT-X1 Plus [수치]: 명시 안 됨
기타: 신경침윤지수·속도·거리, 침윤 면적 AUC, 신경돌기 AUC, 견인 거리, 공간전사체 DE·GSEA, IF MFI, 유세포 비율","SW 모듈명 명시 X
3D 위상 영상 취득(정성 검증)","Fiji/ImageJ → ROI 분할 스크립트·채널 병합·세포 계수
Cellpose → CosMx 세포 분할 [ML]
Seurat·Insitutype → 클러스터링·세포유형 주석 [ML]
SCOTIA → 리간드-수용체 추론
QuPath → IF 양성세포 정량
Incucyte NeuroTrack → 신경돌기 분할
※ 유출: 해당 없음(QPI 정량 미수행)"
"paper_12","2025","Science Advances / 10.1126/sciadv.adv9759","세포생물학/생물물리","섬유아세포; 섬유육종·유방암 세포주; 망막색소상피세포; 비종양성 유방상피세포","세포 질량밀도 항상성; 삼투 스트레스 반응; 단백질 합성 조절; 핵-세포질 수송","#단일세포 #대량세포 #연속관찰 #개별세포추적 #형태측정 #건조질량 #광학부피 #질량밀도 #동시측정 #형광결합","[병행·주력] PHI HoloMonitor M4 → 집단 QPI
[병행] Tomocube HT-2H → 단일세포 3D ODT 검증
[병행] FXm + Zeiss Axio Observer → 부피·형광
[병행] Zeiss LSM 800 → FRAP
[병행] 유세포분석기 → DNA 함량·세포 선별
[대체] 명시 안 됨","Tomocube HT-2H [수치]: 단일세포 부피, 광학부피, 건조질량, 질량밀도
Tomocube HT-2H [영상]: 3D RI 토모그램
HoloMonitor M4 [수치]: 광학부피 → FXm 병합 건조질량·질량밀도
기타: FXm 부피, 세포내 pH, 단백질 합성률, 핵 수송률, DNA 함량, 아미노산, 세포주기 길이","SW 모듈명 명시 X
단일세포 3D ODT 취득·정량(분할·정량 SW 미기재)","HoloMonitor M4 SW → 광학부피 분석
MATLAB → FXm 분할·추적
ZEN → 영상 획득
GraphPad Prism → 통계
※ 유출: HT-2H 분할·정량 SW 불분명"
"paper_13","2025","JoVE (Journal of Visualized Experiments) / 10.3791/68498","암/종양학","유방암 세포주(살아있는 세포)","암세포 표현형 이질성; 세포 형태-화학 조성","#단일세포 #형태측정 #건조질량 #질량밀도 #라벨프리 #동시측정 #라만결합","[병행] 자체 제작 공초점 라만 현미경 → 초분광 화학 영상
[병행] Tomocube HT-2H → TPM
[병행] Hamamatsu Orca Flash 4.0 → 명시야·형광
[대체] 명시 안 됨","Tomocube HT-2H [수치]: 부피, 표면적, 접착면적, 구형도, 건조질량, 밀도
Tomocube HT-2H [영상]: 3D RI 토모그램
기타: 라만 초분광 영상·분자 조성","SW 모듈명 명시 O: TomoStudio (버전 명시 X)
TPM 데이터 분석(세부 확인 불가)","MATLAB → 용도 확인 불가(본문 유료)
RamApp → 라만 초분광 처리
LightField·Micro-Manager → 장비 제어
※ 유출: 확인 불가(본문 유료)"
"paper_14","2025","Journal of Cellular Biochemistry / 10.1002/jcb.70052","대사·내분비학","인간 갈색 전구지방세포(고정)","지방세포 분화; 지질방울 형성; 세포 비대; 당 대사 재프로그래밍","#단일세포 #단일소기관 #연속관찰 #형태측정 #건조질량 #광학부피 #라벨프리 #동시측정","[병행] Tomocube HT-2H → HBP 3D RI 영상
[병행] Leica DMi8 → 지질방울 형광
[병행] Luminex MagPix → 사이토카인
[대체] 명시 안 됨","Tomocube HT-2H [수치]: 세포 건조질량, 세포 부피, 지질 질량·부피, 지질 기여율, 지질방울 직경 분포
Tomocube HT-2H [영상]: 3D RI 토모그램, 2D MIP
기타: 증식곡선, 젖산·아미노산, 지질 형광 정량, 웨스턴블롯, IL-6·VEGF","SW 모듈명 명시 O: TomoStudio (버전 명시 X)
3D RI 토모그램·2D MIP 시각화·획득","ImageJ → 2D MIP 세포 수동 분할
MATLAB → RI 임계 분할·질량·부피·지질방울 정량
xPONENT → Luminex 분석
※ 유출: QPI 세포·지질방울 분할·정량은 ImageJ + MATLAB"
"paper_15","2025","Science / 10.1126/science.adn1570","세포생물학/생물물리","오징어 피부 홍색소포","구조색; 동적 투명-발색 전환; 신경생리 자극 반응","#단일세포 #단일소기관 #형태측정 #동시측정 #굴절률","[병행] 홀로토모그래피(모델 확인 불가) → 3D RI 매핑
[병행] 공초점·면역형광 현미경 → 고정 조직 구조
[병행] 미세분광광도계 → 세포 반사 스펙트럼
[병행] 실체현미경·가시광 분광 → 생조직 색 변화
[병행] SEM → 소재 단면
[대체] 명시 안 됨","홀로토모그래피(모델 확인 불가) [수치]: 판 기둥 수, 판 주기, 판 RI, RI 프로파일
홀로토모그래피(모델 확인 불가) [영상]: 위상 영상, 3D RI 맵, 동영상
기타: 반사 스펙트럼, CIE 색도, 광학 시뮬레이션, 소재 광학·열·기계 특성","확인 불가(Methods 미확보)","확인 불가(Methods 미확보)"
"paper_16","2025","Gut / 10.1136/gutjnl-2025-335220","암/종양학","확인 불가(QPI 관찰 시료 미확인)","설파타이드 대사 변화; 미토콘드리아 형태 변화; 미토파지; 내재적 세포사멸","확인 불가(본문 미확보)","확인 불가(본문 미확보)","Tomocube: 확인 불가(QPI 사용 근거 없음)
기타: MALDI-MS 설파타이드 분포, 공간전사체, 미토콘드리아 호흡, 종양 성장","확인 불가(본문 미확보)","확인 불가(본문 미확보)"
"paper_17","2025","Advanced Healthcare Materials / 10.1002/adhm.202402960","신경생물학","성상세포","성상세포 형태 변화; 세포 조성 변화; 발달 궤적","#단일세포 #연속관찰 #형태측정 #건조질량 #질량밀도 #라벨프리 #동시측정","확인 불가(본문 미확보)","ODT(모델 확인 불가) [수치]: 부피, 건조질량, 면적, 밀도, 형태 클러스터, 의사시간 궤적
ODT(모델 확인 불가) [영상]: 3D RI 맵
기타: 확인 불가(본문 미확보)","확인 불가(본문 미확보)","도구명 확인 불가 → 비지도 클러스터링·의사시간 궤적 추론 [ML]
※ 유출: 확인 불가(본문 미확보)"
"paper_18","2024","Science / 10.1126/science.adl5767","해양·환경과학","확인 불가(QPI 관찰 시료 미확인)","해양 설 침강; 점탄성 점액 꼬리 형성; 유체-구조 상호작용; 생물학적 탄소 펌프","확인 불가(QPI 사용 근거 없음)","[병행] 자체 제작 스케일-프리 수직 추적 현미경 → 선상 침강 추적·유동 가시화
[병행] 3D 체적 영상 장비 → 확인 불가(기법·모델 미기재)
[대체] 명시 안 됨","Tomocube: 확인 불가(QPI 사용 근거 없음)
기타: 침강 속도, 유동장, 점액 꼬리 크기, 체류시간, 점탄성 응답","확인 불가(본문 미확보)","확인 불가(본문 미확보)"
"paper_19","2024","Communications Biology / 10.1038/s42003-024-06496-9","암/종양학","대장암 세포주(선종·암종·폐전이)","암 진행 단계별 표현형; 세포 형태 이질성; 세포 생화학 조성","#단일세포 #단일소기관 #형태측정 #건조질량 #질량밀도 #라벨프리 #동시측정 #굴절률 #라만결합","[병행] 자체 제작 공초점 라만 현미경 → 초분광 화학 영상
[병행] Tomocube HT-2H → TPM 형태 지표
[병행] Hamamatsu Orca Flash 4.0 v2 → 명시야·형광
[대체] 명시 안 됨","Tomocube HT-2H [수치]: 평균 RI, 건조질량, 밀도, 구형도, 부피, 표면적, 접착면적, 두께
Tomocube HT-2H [영상]: 3D RI 단면
기타: 라만 초분광 영상, PCA-MLR, 표현형 분류 모델, 라만-건조질량 상관","SW 모듈명 명시 O: TomoStudio (버전 명시 X)
RI 임계 체적 분할·형태 지표 산출","RamApp → 라만 전처리
MATLAB → 라만 PCA·획득 자동화
OriginPro → PCA·MLR·다항 로지스틱 회귀 분류 [ML]
Micro-Manager → 현미경 제어
※ 유출: QPI 지표 기반 표현형 분류·통계는 OriginPro"
